ID,G3E_FID,CD_SSDW,DEVICE_TYPE,CD_SSXL,NODE1_ID,NODE2_ID
10928,20632828,望牛墩供电分局,10kV电缆,万江F18望牛墩线,8148079,10803548
2733,11987592,望牛墩供电分局,10kV导线,万江F18望牛墩线,8148230,8148246
11239,24765331,望牛墩供电分局,站房接地刀闸,万江F18望牛墩线,11225432,0
11238,24765211,望牛墩供电分局,10kV开关,万江F18望牛墩线,11225432,11225749
3254,11985172,望牛墩供电分局,10kV电缆,万江F18望牛墩线,8148573,8121393
3256,11985376,望牛墩供电分局,10kV开关,万江F18望牛墩线,8148697,8148700
3255,11985342,望牛墩供电分局,10kV电缆终端头,万江F18望牛墩线,8121393,8148697
2736,11987661,望牛墩供电分局,10kV导线,万江F18望牛墩线,7883291,8148242
2734,11987611,望牛墩供电分局,10kV导线,万江F18望牛墩线,8148230,8148237
2741,11987665,望牛墩供电分局,10kV导线,万江F18望牛墩线,7883295,8148253
2750,11990564,望牛墩供电分局,10kV电缆终端头,万江F18望牛墩线,8148678,8148680
2749,11990502,望牛墩供电分局,10kV电缆,万江F18望牛墩线,8148573,8148678
3309,11988586,望牛墩供电分局,10kV电缆,万江F18望牛墩线,8148325,8148368
3308,11988475,望牛墩供电分局,站房电缆头,万江F18望牛墩线,8148323,8148325
3310,11988696,望牛墩供电分局,变压器,万江F18望牛墩线,8979264,8449113
3312,11988679,望牛墩供电分局,10kV开关,万江F18望牛墩线,8148369,8979264
3311,11988653,望牛墩供电分局,站房电缆头,万江F18望牛墩线,8148368,8148369
3303,11987715,望牛墩供电分局,高压表,万江F18望牛墩线,8148246,8148245
3302,11987709,望牛墩供电分局,高压表,万江F18望牛墩线,0,0
3304,11987760,望牛墩供电分局,高压表,万江F18望牛墩线,8148237,8148239
3307,11988473,望牛墩供电分局,站房电缆头,万江F18望牛墩线,10661099,0
3306,11988368,望牛墩供电分局,站房引线,万江F18望牛墩线,8148313,7883581
3313,11988807,望牛墩供电分局,10kV电缆,万江F18望牛墩线,8148309,8119266
3320,11988968,望牛墩供电分局,10kV开关,万江F18望牛墩线,8148393,7883733
3319,11988967,望牛墩供电分局,10kV开关,万江F18望牛墩线,7883733,7883734
3321,11988971,望牛墩供电分局,避雷器,万江F18望牛墩线,8148396,0
3323,11989083,望牛墩供电分局,10kV导线,万江F18望牛墩线,7883734,8148396
3322,11989075,望牛墩供电分局,10kV导线,万江F18望牛墩线,7883783,8148393
3315,11988844,望牛墩供电分局,10kV开关,万江F18望牛墩线,8148371,8148374
3314,11988833,望牛墩供电分局,10kV电缆终端头,万江F18望牛墩线,8119266,8148371
3316,11988853,望牛墩供电分局,10kV导线,万江F18望牛墩线,8148374,0
3318,11988878,望牛墩供电分局,10kV导线,万江F18望牛墩线,11695912,8119513
3317,11988870,望牛墩供电分局,10kV断连,万江F18望牛墩线,8148374,11695912
3284,11987133,望牛墩供电分局,10kV开关,万江F18望牛墩线,0,11700600
3283,11987115,望牛墩供电分局,变压器,万江F18望牛墩线,11530743,0
3285,11987225,望牛墩供电分局,站房接地刀闸,万江F18望牛墩线,11700600,0
